title,Programming Languages,Programming Languages,Agreements,,,,,,,
Learning_Game-Playing_Agents_with_Generative_Code_Optimization.pdf,Python,Python,Python,,,,,,,Verilog
Autopresent__Designing_structured_visuals_from_scratch.pdf,Python,Python,Python,,,,,,,CSS
Correctness_Assessment_of_Code_Generated_by_Large_Language_Models_Using_Internal_Representations.pdf,Python,"C++, C#, Java, Python, JavaScript, PHP, Shell, TypeScript","PHP, JavaScript, Java, Python, C++, TypeScript, Shell",,,,,,,Rust
Leveraging_Human_Insights_for_Enhanced_LLM-based_Code_Repair.pdf,,,,,,,,,,Vue
Leveraging_Open-Source_LLMs_for_Zero-Shot_Vulnerability_Detection__A_Comparative_Analysis.pdf,,,,,,,,,,Kotlin
Fea-bench__A_benchmark_for_evaluating_repository-level_code_generation_for_feature_implementation.pdf,Python,Python,Python,,,,,,,Dart
Towards_detecting_prompt_knowledge_gaps_for_improved_llm-guided_issue_resolution.pdf,,Python,Python,,,,,,,Swift
Measuring_and_Improving_the_Efficiency_of_Python_Code_Generated_by_LLMs_Using_CoT_Prompting_and_Fine-Tuning.pdf,Python,Python,Python,,,,,,,Ruby
SelfCodeAlign__Self-Alignment_for_Code_Generation.pdf,Python,Python,Python,,,,,,,R
Coast__Enhancing_the_code_debugging_ability_of_llms_through_communicative_agent_based_data_synthesis.pdf,"Python, C++, Java","Python, C++, Java","Python, C++, Java",,,,,,,SQL
MORepair__Teaching_LLMs_to_Repair_Code_via_Multi-Objective_Fine-Tuning.pdf,"C++, Java","C++, Java, Python","C++, Java, Python",,,,,,,Scala
Template-guided_program_repair_in_the_era_of_large_language_models.pdf,"C++, Java",Java,"C, C++, Java",,,,,,,Shell
Swe-bench_multimodal__Do_ai_systems_generalize_to_visual_software_domains_.pdf,"JavaScript, TypeScript, HTML, CSS",JavaScript,"JavaScript, TypeScript, HTML, CSS, Lua",,,,,,,Pascal
CodeV__Issue_Resolving_with_Visual_Data.pdf,"HTML, Python",Python,"HTML, Python, Markdown",,,,,,,Lua
"Unlimited_Practice_Opportunities__Automated_Generation_of_Comprehensive,_Personalized_Programming_Tasks.pdf",Python,Python,Python,,,,,,,CUDA
The_Sustainability_Face_of_Automated_Program_Repair_Tools.pdf,Java,Java,Java,,,,,,,RDF
Speed_Up_Your_Code__Progressive_Code_Acceleration_Through_Bidirectional_Tree_Editing.pdf,"C++, C, Go, Java, Python","C, C++, Go, Java, Python","C, Java, Python, C++, Go",,,,,,,SPARQL
LLM_program_optimization_via_retrieval_augmented_search.pdf,C++,C++,C++,,,,,,,Haskell
SV-TrustEval-C__Evaluating_Structure_and_Semantic_Reasoning_in_Large_Language_Models_for_Source_Code_Vulnerability_Analysis.pdf,C,C,C,,,,,,,Objective-C
Enhancing_code_llm_training_with_programmer_attention.pdf,Java,Java,Java,,,,,,,Lua
Acecoder__Acing_coder_rl_via_automated_test-case_synthesis.pdf,Python,Python,Python,,,,,,,Rust
On_Pretraining_For_Project-Level_Code_Completion.pdf,Python,Python,Python,,,,,,,R
DeCOS__Data-Efficient_Reinforcement_Learning_for_Compiler_Optimization_Selection_Ignited_by_LLM.pdf,C,"C, C++","C, C++",,,,,,,Vue
AnnCoder__A_Mti-Agent-Based_Code_Generation_and_Optimization_Model.pdf,Python,Python,Python,,,,,,,TSX
Evaluating_the_Generalizability_of_LLMs_in_Automated_Program_Repair.pdf,Java,Java,Java,,,,,,,Scala
Benchmarking_and_categorizing_the_performance_of_neural_program_repair_systems_for_Java.pdf,Java,Java,Java,,,,,,,Objective-C
CODEMORPH__Mitigating_Data_Leakage_in_Large_Language_Model_Assessment.pdf,"C, C++, Java, Python, Go, Rust","C, C++, Python, Go, Java, Rust","C, Java, Python, C++, Go, Rust",,,,,,,OpenCL
Ecosystem_of_large_language_models_for_code.pdf,,,,,,,,,,XML
Hybrid_automated_program_repair_by_combining_large_language_models_and_program_analysis.pdf,Java,Java,Java,,,,,,,Markdown
RAG_or_Fine-tuning__A_Comparative_Study_on_LCMs-based_Code_Completion_in_Industry.pdf,C++,C++,C++,,,,,,,Limbo
SWE-Dev__Building_Software_Engineering_Agents_with_Training_and_Inference_Scaling.pdf,Python,Python,Python,,,,,,,JSON
FastFixer__an_efficient_and_effective_approach_for_repairing_programming_assignments.pdf,C,C,C,,,,,,,Racket
Question_Selection_for_Multi-Modal_Code_Search_Synthesis_using_Probabilistic_Version_Spaces.pdf,Java,Java,Java,,,,,,,Julia
When_Faster_Isn't_Greener__The_Hidden_Costs_of_LLM-Based_Code_Optimization.pdf,Python,Python,Python,,,,,,,D
CodeContrast__A_Contrastive_Learning_Approach_for_Generating_Coherent_Programming_Exercises.pdf,"Python, Java, C++","Python, C++, Java","Python, C++, Java",,,,,,,
Epicoder__Encompassing_diversity_and_complexity_in_code_generation.pdf,Python,Python,Python,,,,,,,
Supersonic__Learning_to_generate_source_code_optimizations_in_C_C++.pdf,"C, C++","C, C++","C, C++",,,,,,,
DependEval__Benchmarking_LLMs_for_Repository_Dependency_Understanding.pdf,"C, C++, C#, TypeScript, JavaScript, Java, PHP, Python","C, C++, Java, JavaScript, PHP, Python, C#","C, C++, C#, TypeScript, JavaScript, Java, PHP, Python",,,,,,,
ECCO__Can_We_Improve_Model-Generated_Code_Efficiency_Without_Sacrificing_Functional_Correctness_.pdf,Python,Python,Python,,,,,,,
Optimizing_code_runtime_performance_through_context-aware_retrieval-augmented_generation.pdf,C++,C++,C++,,,,,,,
SecureQwen__Leveraging_LLMs_for_vulnerability_detection_in_python_codebases.pdf,Python,Python,Python,,,,,,,
Brite__Bootstrapping_reinforced_thinking_process_to_enhance_language_model_reasoning.pdf,,Python,Python,,,,,,,
Codei_o__Condensing_reasoning_patterns_via_code_input-output_prediction.pdf,Python,Python,Python,,,,,,,
Can_test_generation_and_program_repair_inform_automated_assessment_of_programming_projects_.pdf,Java,Java,Java,,,,,,,
Can_LLMs_Reason_About_Program_Semantics__A_Comprehensive_Evaluation_of_LLMs_on_Formal_Specification_Inference.pdf,Java,Java,Java,,,,,,,
SnipGen__A_Mining_Repository_Framework_for_Evaluating_LLMs_for_Code.pdf,Python,Python,Python,,,,,,,
SWIFTCODER__Enhancing_Code_Generation_in_Large_Language_Models_through_Efficiency-Aware_Fine-tuning.pdf,"C++, Python, Java, Go, Rust","Python, Java, C++, Go, Rust","Python, Java, C++, Go, Rust",,,,,,,
Investigating_Execution-Aware_Language_Models_for_Code_Optimization.pdf,C++,C++,C++,,,,,,,
Opencoder__The_open_cookbook_for_top-tier_code_large_language_models.pdf,"HTML, Java, C#, PHP, C++, C, TypeScript, Go, JavaScript, Python, CSS, Rust, Vue, Kotlin, Dart, Swift, R, Scala, SQL, Shell, Pascal, Lua","HTML, Java, C#, PHP, JavaScript, Python, C++, C, Markdown, TypeScript, Vue, Go, Limbo, JSON, TSX, Pascal, Dart, Ruby, Rust, SQL, R","Python, Java, C++, Go, Rust",,,,,,,
Syncmind__Measuring_agent_out-of-sync_recovery_in_collaborative_software_engineering.pdf,Python,Python,Python,,,,,,,
Investigating_Reproducibility_Challenges_in_LLM_Bugfixing_on_the_HumanEvalFix_Benchmark.pdf,Python,Python,Python,,,,,,,
Ctibench__A_benchmark_for_evaluating_llms_in_cyber_threat_intelligence.pdf,,,,,,,,,,
SECURE__Benchmarking_Large_Language_Models_for_Cybersecurity.pdf,,,,,,,,,,
Kernelbench__Can_llms_write_efficient_gpu_kernels_.pdf,"Python, CUDA",CUDA,"CUDA, Python",,,,,,,
Why_Personalizing_Deep_Learning-Based_Code_Completion_Tools_Matters.pdf,Java,,Java,,,,,,,
Repairbench__Leaderboard_of_frontier_models_for_program_repair.pdf,Java,Java,Java,,,,,,,
Harnessing_Large_Language_Models_for_Curated_Code_Reviews.pdf,"PHP, Ruby, C#, C, Java, Python, C++, Go, JavaScript","PHP, Java, Ruby, C#, C, C++, Python, Go, JavaScript","PHP, Java, Ruby, C#, C, C++, Python, Go, JavaScript",,,,,,,
Coding_Agents_with_Multimodal_Browsing_are_Generalist_Problem_Solvers.pdf,JavaScript,JavaScript,JavaScript,,,,,,,
DeepCodeGraph__A_Language_Model_for_Compile-Time_Resource_Optimization_Using_Masked_Graph_Autoencoders.pdf,"C, C++, LLVM-IR","C, C++, LLVM-IR","C, C++, LLVM-IR",,,,,,,
Search-based_llms_for_code_optimization.pdf,"Python, C++","Python, C++","Python, C++",,,,,,,
LLM-KG-Bench_3_0__A_compass_for_semantic_technology_capabilities_in_the_ocean_of_LLMs.pdf,"RDF, SPARQL",SPARQL,SPARQL,,,,,,,
Context-aware_prompting_for_LLM-based_program_repair.pdf,Java,"Java, Python","Java, Python",,,,,,,
LogUpdater__Automated_Detection_and_Repair_of_Specific_Defects_in_Logging_Statements.pdf,Java,Java,Java,,,,,,,
Just-in-time_detection_of_silent_security_patches.pdf,,"C, C++","C, C++",,,,,,,
INDICT__Code_generation_with_internal_dialogues_of_critiques_for_both_security_and_helpfulness.pdf,"Java, C, C++, C#, JavaScript, PHP, Python, Rust","C, C++, C#, Java, JavaScript, PHP, Python, Ruby","Java, C, C++, C#, JavaScript, PHP, Python, Rust",,,,,,,
ObscuraCoder__Powering_Efficient_Code_LM_Pre-Training_Via_Obfuscation_Grounding.pdf,"C, C++, Go, Java, Python, TypeScript, Rust","C, C++, Java, Go, Python, TypeScript, Rust","C, C++, Java, Go, Python, TypeScript, Rust",,,,,,,
ELABORATION__A_Comprehensive_Benchmark_on_Human-LLM_Competitive_Programming.pdf,Python,Python,Python,,,,,,,
UCP__a_unified_framework_for_code_generation_with_pseudocode-based_multi-task_learning_and_reinforcement_alignment__Y__Wen_et_al_.pdf,Python,"Python, C++, Java, JavaScript","Python, C++, Java, JavaScript",,,,,,,
Synthesizing_Software_Engineering_Data_in_a_Test-Driven_Manner.pdf,Python,Python,Python,,,,,,,
Mercury__A_code_efficiency_benchmark_for_code_large_language_models.pdf,Python,Python,Python,,,,,,,
A_comparative_analysis_on_using_GPT_and_BERT_for_automated_vulnerability_scoring.pdf,,,,,,,,,,
Repairllama__Efficient_representations_and_fine-tuned_adapters_for_program_repair.pdf,Java,Java,Java,,,,,,,
EDITLORD__Learning_Code_Transformation_Rules_for_Code_Editing.pdf,"C++, Python, Java",C++,"C++, Python, Java",,,,,,,
ReAPR__Automatic_program_repair_via_retrieval-augmented_large_language_models.pdf,Java,Java,Java,,,,,,,
On_the_Effectiveness_of_LLM-as-a-judge_for_Code_Generation_and_Summarization.pdf,"Java, Python",Java,"Java, Python",,,,,,,
ProSec__Fortifying_Code_LLMs_with_Proactive_Security_Alignment.pdf,"C, C++, Java, JavaScript, Python","C, C++, Java, Python, JavaScript","C, C++, Java, Python, JavaScript",,,,,,,
Di-bench__Benchmarking_large_language_models_on_dependency_inference_with_testable_repositories_at_scale.pdf,"Python, Rust, C#, JavaScript","Python, C#, JavaScript, Rust","Python, C#, JavaScript, Rust",,,,,,,
Do_LLMs_consider_security__an_empirical_study_on_responses_to_programming_questions.pdf,,"Python, JavaScript","Python, JavaScript",,,,,,,
RECoRD__A_Multi-Agent_LLM_Framework_for_Reverse_Engineering_Codebase_to_Relational_Diagram.pdf,,,,,,,,,,
An_empirical_study_on_capability_of_large_language_models_in_understanding_code_semantics.pdf,"Java, Python","Java, Python","Java, Python",,,,,,,
Codeultrafeedback__An_llm-as-a-judge_dataset_for_aligning_large_language_models_to_coding_preferences.pdf,,,,,,,,,,
M2rc-eval__Massively_multilingual_repository-level_code_completion_evaluation.pdf,"C, C++, C#, Go, HTML, Haskell, Java, JavaScript, Kotlin, Lua, Objective-C, PHP, Python, R, Ruby, Rust, Scala, TypeScript","Java, Python, TypeScript","C, C++, C#, Go, HTML, Haskell, Java, JavaScript, Kotlin, Lua, Objective-C, PHP, Python, R, Ruby, Rust, Scala, TypeScript",,,,,,,
Revisiting_Chain-of-Thought_in_Code_Generation__Do_Language_Models_Need_to_Learn_Reasoning_before_Coding_.pdf,"Python, Shell, C++, C#, D, Go, Java, JavaScript, Julia, Lua, Perl, PHP, R, Racket, Ruby, Rust, Scala, Swift, TypeScript","C++, Java, PHP, Shell","C, C++, C#, Go, HTML, Haskell, Java, JavaScript, Kotlin, Lua, Objective-C, PHP, Python, R, Ruby, Rust, Scala, TypeScript",,,,,,,
Bitsai-cr__Automated_code_review_via_llm_in_practice.pdf,"Go, JavaScript, TypeScript, Python, Java","Go, JavaScript, TypeScript, Java, Python","Go, JavaScript, TypeScript, Java, Python",,,,,,,
Post-Incorporating_Code_Structural_Knowledge_into_Pretrained_Models_via_ICL_for_Code_Translation.pdf,"Java, Python, C++","Python, C++, Java","Python, C++, Java",,,,,,,
Insights_into_resource_utilization_of_code_small_language_models_serving_with_runtime_engines_and_execution_providers.pdf,,,,,,,,,,
Towards_reliable_evaluation_of_neural_program_repair_with_natural_robustness_testing.pdf,Java,Java,Java,,,,,,,
"Kodcode__A_diverse,_challenging,_and_verifiable_synthetic_dataset_for_coding.pdf",,Python,Python,,,,,,,
Comprehensive_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,Java,"Java, C, C++, JavaScript","Java, C, C++, JavaScript",,,,,,,
Efficient_program_optimization_through_knowledge-enhanced_LoRA_fine-tuning_of_large_language_models.pdf,"C, C++","C++, C","C++, C",,,,,,,
Combining_Large_Language_Models_with_Static_Analyzers_for_Code_Review_Generation.pdf,,Java,Java,,,,,,,
Enhancing_automated_program_repair_with_solution_design.pdf,Java,Java,Java,,,,,,,
Humaneval_pro_and_mbpp_pro__Evaluating_large_language_models_on_self-invoking_code_generation.pdf,Python,Python,Python,,,,,,,
Are_large_language_models_memorizing_bug_benchmarks_.pdf,"Java, Python, C++","Java, Python, C++","Java, Python, C++",,,,,,,
